Birth_weight,Wean_weight,Yearling_weight,Year
81,660,902,2005
63,455,690,2005
72,500,866,2005
71,470,730,2005
81,534,812,2005
86,520,788,2005
76,575,852,2005
82,625,946,2005
74,630,1040,2005
94,560,780,2005
88,486,668,2005
88,604,916,2005
79,456,622,2005
94,462,714,2005
82,682,925,2005
64,479,698,2005
70,520,776,2005
70,428,654,2005
70,450,680,2005
80,483,756,2005
66,534,814,2005
52,570,740,2005
80,648,872,2005
78,485,790,2005
70,534,764,2005
82,498,710,2005
79,489,698,2005
86,514,816,2005
82,569,700,2005
70,434,672,2005
86,520,738,2005
58,444,800,2005
87,514,868,2005
81,498,800,2005
82,596,986,2005
82,488,800,2005
67,472,722,2005
62,491,714,2005
72,658,910,2005
79,638,948,2005
80,592,894,2005
91,610,970,2005
82,640,886,2005
78,554,854,2005
74,528,808,2005
81,572,826,2005
82,570,870,2005
97,536,792,2005
84,562,882,2005
52,480,664,2005
72,656,838,2005
78,566,890,2005
86,548,868,2005
66,656,922,2005
54,493,788,2005
78,474,686,2005
76,493,682,2005
75,620,948,2005
77,660,970,2005
78,450,834,2005
91,630,976,2005
81,638,924,2005
68,546,840,2005
75,570,740,2005
86,592,730,2005
72,564,992,2005
112,602,878,2005
84,518,864,2005
58,487,806,2005
64,542,870,2005
85,495,780,2005
71,504,704,2005
78,590,880,2005
82,475,724,2005
82,493,684,2005
65,506,726,2006
83,458,766,2006
85,462,786,2006
78,580,764,2006
74,394,664,2006
70,406,670,2006
79,472,702,2006
82,488,766,2006
72,502,744,2006
65,378,600,2006
90,508,670,2006
90,476,754,2006
85,450,640,2006
71,544,622,2006
81,520,724,2006
70,456,730,2006
80,646,892,2006
76,606,912,2006
79,381,800,2006
84,412,794,2006
68,464,828,2006
78,512,876,2006
86,530,734,2006
88,606,942,2006
46,450,732,2006
62,506,804,2006
76,586,938,2006
76,630,846,2006
99,620,906,2006
82,542,894,2006
52,520,790,2006
78,622,1010,2006
82,512,628,2006
76,430,630,2006
76,582,904,2006
81,574,902,2006
76,404,780,2006
77,528,820,2006
84,370,740,2006
84,409,790,2006
78,390,740,2006
72,534,908,2006
68,538,820,2006
88,530,866,2006
87,502,790,2006
86,534,806,2006
84,650,848,2006
58,489,784,2006
74,566,826,2006
72,387,812,2006
80,430,778,2006
74,532,772,2006
66,548,870,2006
79,430,780,2006
72,560,834,2006
76,407,696,2006
71,421,784,2006
84,505,956,2006
88,580,784,2006
74,453,846,2006
71,554,812,2006
54,534,858,2006
65,417,806,2006
68,398,882,2006
57,396,716,2006
79,362,864,2006
61,490,786,2006
70,598,972,2006
76,618,946,2006
62,586,912,2006
82,431,808,2006
62,518,816,2006
70,574,790,2006
90,614,944,2006
76,488,794,2006
