COW,HERD,FAT,PRT,LACT,SNF,CAS,AMmilk,PMmilk,TOTmilk,BWT
1367,1,3.01,2.63,4.67,7.95,1.96,42.3,41.6,83.9,1294
1395,2,3.60,3.82,4.08,8.55,3.04,23.8,30.1,53.9,.
1396,2,3.87,3.30,4.42,8.29,2.57,29.8,33.2,63.0,.
1408,2,3.51,3.09,4.94,8.62,2.37,42.3,54.2,96.5,1389
1444,1,2.71,3.15,4.06,7.91,2.43,20.1,20.9,41.0,1596
1445,2,3.32,3.18,4.22,8.05,2.45,32.0,41.5,73.5,1538
1469,2,4.22,3.71,4.88,9.20,2.94,30.3,43.5,73.8,1945
1472,1,5.01,4.17,4.33,9.12,3.36,26.8,32.7,59.5,.
1481,2,3.84,3.35,5.06,8.99,2.61,41.2,54.1,95.3,1454
1497,2,2.69,2.81,4.71,8.15,2.12,74.8,50.1,124.9,1600
1509,2,3.87,3.39,5.05,9.05,2.65,51.8,26.1,77.9,1516
1510,1,3.24,2.94,4.35,7.96,2.23,41.5,40.2,81.7,1792
1518,2,3.18,2.99,5.29,8.87,2.28,36.1,61.4,97.5,1445
1550,2,3.91,3.09,5.10,8.75,2.37,36.2,50.1,86.3,1534
1551,2,3.82,3.48,4.65,8.71,2.72,26.9,38.6,65.5,.
1556,1,4.61,3.68,5.15,9.46,2.91,39.4,43.8,83.2,1885
1557,1,3.74,3.24,4.90,8.75,2.51,46.2,50.6,96.8,1737
1558,1,3.47,2.78,5.08,8.46,2.09,47.8,58.2,106.0,1691
1559,1,3.28,3.04,4.96,8.62,2.33,46.3,57.5,103.8,1916
1565,1,3.47,3.25,4.59,8.50,2.52,25.7,29.8,55.5,1372
1578,1,3.45,3.26,4.87,8.74,2.53,47.4,51.0,98.4,1773
1583,1,3.68,2.82,5.07,8.49,2.12,49.1,62.3,111.4,1545
1585,1,3.42,3.42,4.92,9.01,2.67,43.8,46.8,90.6,1668
1592,1,3.79,3.45,4.18,8.31,2.70,19.9,27.9,47.8,.
1596,1,3.04,2.99,4.87,8.50,2.28,45.1,52.0,97.1,1652
1597,1,3.87,3.46,4.79,8.90,2.71,49.9,53.8,103.7,1447
1600,2,3.18,3.22,4.85,8.70,2.49,39.9,49.3,89.2,1670
1602,1,4.17,3.15,5.15,8.91,2.43,47.3,59.4,106.7,1566
1604,1,3.99,2.91,5.11,8.61,2.21,50.2,54.4,104.6,1668
1608,2,2.07,2.71,3.02,6.57,2.02,27.6,26.9,54.5,2008
1609,1,3.87,3.68,4.35,8.68,2.91,18.9,19.4,38.3,.
1611,1,3.38,3.42,4.34,8.41,2.67,39.9,44.8,84.7,1905
1612,2,3.73,2.90,5.32,8.83,2.20,57.9,62.8,120.7,1658
1617,2,3.30,3.03,4.99,8.63,2.32,51.9,72.8,124.7,1614
1618,2,4.43,3.58,5.30,9.42,2.82,41.2,54.8,96.0,1825
1622,1,2.89,3.23,4.97,8.90,2.50,67.9,53.0,120.9,1485
1626,2,2.46,2.89,5.11,8.62,2.19,39.3,44.4,83.7,1697
1635,1,3.78,3.18,4.92,8.68,2.45,53.5,59.8,113.3,1615
1641,2,3.49,3.48,4.65,8.77,2.73,34.1,38.6,72.7,1962
1646,1,3.79,3.48,4.66,8.74,2.73,14.7,14.4,29.1,.
1648,2,4.36,3.41,4.94,8.99,2.66,43.0,51.7,94.7,1416
1649,2,3.90,2.94,5.10,8.64,2.23,41.9,51.9,93.8,1581
1651,2,6.19,3.36,4.82,8.81,2.62,40.0,44.1,84.1,1584
1653,1,3.98,3.15,4.87,6.67,2.42,48.5,56.8,105.3,.
1655,2,3.69,3.18,5.04,8.86,2.46,37.5,46.4,83.9,1745
1657,1,3.38,2.91,5.11,8.63,2.21,47.6,55.8,103.4,1350
1659,2,4.30,3.28,4.90,8.82,2.54,33.5,40.3,73.8,1778
1660,1,4.32,3.89,5.01,9.51,3.10,32.9,45.6,78.5,1924
1662,1,4.16,2.89,4.94,8.44,2.19,51.0,64.3,115.3,1608
1663,1,3.04,3.45,4.80,8.92,2.70,23.9,31.8,55.7,1570
1667,1,2.78,3.48,5.01,9.15,2.72,39.6,52.4,92.0,1423
1671,1,3.46,3.30,4.81,8.77,2.56,32.5,45.4,77.9,.
1672,2,3.37,3.02,4.87,8.52,2.31,44.8,46.5,91.3,.
1673,1,3.11,2.87,4.85,8.34,2.17,54.0,55.6,109.6,1497
1674,1,3.83,3.87,5.22,9.67,3.09,16.0,25.3,41.3,1740
1675,2,3.54,2.73,4.61,8.02,2.05,58.3,60.7,119.0,.
1676,2,3.40,3.15,4.88,8.69,2.43,43.1,53.7,96.8,1480
1677,1,3.47,3.48,4.49,8.62,2.72,19.6,24.3,43.9,1714
1682,2,2.93,3.29,4.67,8.56,2.55,35.6,36.8,72.4,1454
1684,1,3.80,3.62,4.94,9.23,2.85,48.6,40.7,89.3,1366
1685,2,4.08,3.61,4.80,9.00,2.85,25.2,26.9,52.1,.
1686,1,3.82,3.20,5.18,9.02,2.47,38.5,53.7,92.2,1243
1690,2,2.89,3.47,5.14,9.23,2.72,37.9,31.5,69.4,1707
1691,2,3.63,3.44,4.94,9.05,2.69,27.8,30.1,57.9,1569
1692,1,3.82,3.40,5.11,9.15,2.66,37.7,42.2,79.9,1424
1693,1,4.37,3.59,4.93,9.19,2.83,20.5,19.4,39.9,1597
