"row","diet","block","gain"
"1","a",1,2
"2","b",1,5
"3","c",1,8
"4","d",1,6
"5","e",1,1
"6","f",1,3
"7","g",1,8
"8","h",1,6
"9","i",1,4
"10","j",1,4
"11","a",2,3
"12","b",2,4
"13","c",2,7
"14","d",2,5
"15","e",2,2
"16","f",2,5
"17","g",2,8
"18","h",2,12
"19","i",2,5
"20","j",2,4
"21","a",3,3
"22","b",3,5
"23","c",3,10
"24","d",3,5
"25","e",3,1
"26","f",3,7
"27","g",3,7
"28","h",3,2
"29","i",3,6
"30","j",3,2
"31","a",4,5
"32","b",4,5
"33","c",4,9
"34","d",4,2
"35","e",4,2
"36","f",4,8
"37","g",4,8
"38","h",4,5
"39","i",4,3
"40","j",4,3
