Treatment, block, logProt
bar+lupA, B1, -0.0731037100734435
bar+lupB, B1, -0.196101868349928
bar+lupC, B1, -0.210267730933958
bar+lupD, B1, -0.167489223975411
barleyA, B1, 0.0128826235040475
barleyB, B1, -0.0370084934237159
barleyC, B1, -0.0685472328542999
barleyD, B1, 0.0227519412374128
lupinsA, B1, -0.262581988917979
lupinsB, B1, -0.3916169129234
lupinsC, B1, -0.547148905195592
lupinsD, B1, -0.332935697972448
bar+lupA, B2, -0.0984822162913345
bar+lupB, B2, -0.210935792405121
bar+lupC, B2, -0.0567371580442165
bar+lupD, B2, 0.0464364858012666
barleyA, B2, 0.0936734288425749
barleyB, B2, -0.0243478396788622
barleyC, B2, -0.104679084777041
barleyD, B2, 0.162878012463507
lupinsA, B2, -0.0727764949797924
lupinsB, B2, -0.363116935987831
lupinsC, B2, -0.270329731838754
lupinsD, B2, -0.467562992079467
bar+lupA, B3, -0.469422318296023
bar+lupB, B3, -0.52042415658816
bar+lupC, B3, -0.776426735627286
bar+lupD, B3, -0.599824055104792
barleyA, B3, -0.376865498106334
barleyB, B3, -0.558778120822771
barleyC, B3, -0.498434059657074
barleyD, B3, -0.448554872471514
lupinsA, B3, -0.52988950832947
lupinsB, B3, -0.684172163381795
lupinsC, B3, -0.845858171586139
lupinsD, B3, -0.99810334235182
