"","cultivar","No.Seeds"
"56","Ascolana Tenera",1
"13","Ascolana Tenera",0
"42","Ascolana Tenera",1
"91","Ascolana Tenera",1
"29","Ascolana Tenera",0
"100","Ascolana Tenera",1
"71","Ascolana Tenera",1
"40","Ascolana Tenera",1
"30","Ascolana Tenera",1
"95","Ascolana Tenera",1
"1","Ascolana Tenera",0
"120","Ascolana Tenera",1
"41","Ascolana Tenera",1
"137","Ascolana Tenera",2
"132","Ascolana Tenera",2
"39","Ascolana Tenera",1
"129","Ascolana Tenera",2
"124","Ascolana Tenera",2
"16","Ascolana Tenera",0
"127","Ascolana Tenera",2
"125","Ascolana Tenera",2
"5","Ascolana Tenera",0
"15","Ascolana Tenera",0
"58","Ascolana Tenera",1
"74","Ascolana Tenera",1
"10","Ascolana Tenera",0
"19","Ascolana Tenera",0
"106","Ascolana Tenera",1
"65","Ascolana Tenera",1
"62","Ascolana Tenera",1
"119","Ascolana Tenera",1
"105","Ascolana Tenera",1
"54","Ascolana Tenera",1
"121","Ascolana Tenera",2
"8","Ascolana Tenera",0
"114","Ascolana Tenera",1
"17","Ascolana Tenera",0
"123","Ascolana Tenera",2
"53","Ascolana Tenera",1
"2","Ascolana Tenera",0
"107","Ascolana Tenera",1
"130","Ascolana Tenera",2
"36","Ascolana Tenera",1
"59","Ascolana Tenera",1
"122","Ascolana Tenera",2
"113","Ascolana Tenera",1
"6","Ascolana Tenera",0
"98","Ascolana Tenera",1
"118","Ascolana Tenera",1
"3","Ascolana Tenera",0
"68","Ascolana Tenera",1
"34","Ascolana Tenera",1
"90","Ascolana Tenera",1
"21","Ascolana Tenera",0
"12","Ascolana Tenera",0
"97","Ascolana Tenera",1
"50","Ascolana Tenera",1
"18","Ascolana Tenera",0
"83","Ascolana Tenera",1
"49","Ascolana Tenera",1
"81","Ascolana Tenera",1
"109","Ascolana Tenera",1
"134","Ascolana Tenera",2
"101","Ascolana Tenera",1
"7","Ascolana Tenera",0
"110","Ascolana Tenera",1
"22","Ascolana Tenera",0
"128","Ascolana Tenera",2
"27","Ascolana Tenera",0
"38","Ascolana Tenera",1
"75","Ascolana Tenera",1
"33","Ascolana Tenera",1
"116","Ascolana Tenera",1
"92","Ascolana Tenera",1
"60","Ascolana Tenera",1
"31","Ascolana Tenera",1
"117","Ascolana Tenera",1
"93","Ascolana Tenera",1
"78","Ascolana Tenera",1
"76","Ascolana Tenera",1
"28","Ascolana Tenera",0
"104","Ascolana Tenera",1
"79","Ascolana Tenera",1
"24","Ascolana Tenera",0
"69","Ascolana Tenera",1
"140","Ascolana Tenera",2
"131","Ascolana Tenera",2
"108","Ascolana Tenera",1
"126","Ascolana Tenera",2
"9","Ascolana Tenera",0
"25","Ascolana Tenera",0
"102","Ascolana Tenera",1
"47","Ascolana Tenera",1
"37","Ascolana Tenera",1
"46","Ascolana Tenera",1
"11","Ascolana Tenera",0
"64","Ascolana Tenera",1
"86","Ascolana Tenera",1
"89","Ascolana Tenera",1
"14","Ascolana Tenera",0
"133","Ascolana Tenera",2
"85","Ascolana Tenera",1
"52","Ascolana Tenera",1
"51","Ascolana Tenera",1
"61","Ascolana Tenera",1
"136","Ascolana Tenera",2
"55","Ascolana Tenera",1
"87","Ascolana Tenera",1
"70","Ascolana Tenera",1
"88","Ascolana Tenera",1
"45","Ascolana Tenera",1
"103","Ascolana Tenera",1
"23","Ascolana Tenera",0
"139","Ascolana Tenera",2
"96","Ascolana Tenera",1
"84","Ascolana Tenera",1
"44","Ascolana Tenera",1
"35","Ascolana Tenera",1
"57","Ascolana Tenera",1
"111","Ascolana Tenera",1
"115","Ascolana Tenera",1
"73","Ascolana Tenera",1
"63","Ascolana Tenera",1
"72","Ascolana Tenera",1
"48","Ascolana Tenera",1
"80","Ascolana Tenera",1
"43","Ascolana Tenera",1
"94","Ascolana Tenera",1
"26","Ascolana Tenera",0
"138","Ascolana Tenera",2
"67","Ascolana Tenera",1
"82","Ascolana Tenera",1
"135","Ascolana Tenera",2
"99","Ascolana Tenera",1
"20","Ascolana Tenera",0
"112","Ascolana Tenera",1
"66","Ascolana Tenera",1
"4","Ascolana Tenera",0
"32","Ascolana Tenera",1
"77","Ascolana Tenera",1
"308","Carolea",1
"302","Carolea",1
"252","Carolea",1
"362","Carolea",2
"261","Carolea",1
"211","Carolea",1
"329","Carolea",1
"292","Carolea",1
"363","Carolea",2
"310","Carolea",1
"202","Carolea",1
"350","Carolea",1
"255","Carolea",1
"268","Carolea",1
"264","Carolea",1
"185","Carolea",1
"289","Carolea",1
"175","Carolea",1
"361","Carolea",2
"270","Carolea",1
"272","Carolea",1
"191","Carolea",1
"151","Carolea",0
"368","Carolea",2
"271","Carolea",1
"263","Carolea",1
"199","Carolea",1
"153","Carolea",0
"238","Carolea",1
"343","Carolea",1
"281","Carolea",1
"295","Carolea",1
"163","Carolea",0
"192","Carolea",1
"168","Carolea",1
"318","Carolea",1
"187","Carolea",1
"216","Carolea",1
"282","Carolea",1
"215","Carolea",1
"335","Carolea",1
"321","Carolea",1
"294","Carolea",1
"239","Carolea",1
"296","Carolea",1
"158","Carolea",0
"226","Carolea",1
"246","Carolea",1
"356","Carolea",2
"237","Carolea",1
"307","Carolea",1
"145","Carolea",0
"273","Carolea",1
"338","Carolea",1
"293","Carolea",1
"300","Carolea",1
"304","Carolea",1
"367","Carolea",2
"232","Carolea",1
"348","Carolea",1
"157","Carolea",0
"276","Carolea",1
"315","Carolea",1
